NAME,STATE,COUNTY,CITY,MAX_VOLT,MIN_VOLT,LINES,LATITUDE,LONGITUDE,LON,LAT
UNKNOWN108092,AR,LAWRENCE,POWHATAN,-999999,-999999,0,36.09084574,-91.13421235,-91.13421234999998,36.090845740000006
UNKNOWN108093,AR,LAWRENCE,STRAWBERRY,-999999,-999999,1,36.00534901,-91.25223383,-91.25223383,36.00534900999999
UNKNOWN108094,AR,LEE,MARIANNA,115,115,2,34.76275721,-90.76799135,-90.76799135,34.76275720999999
UNKNOWN108095,AR,LEE,MARIANNA,115,115,1,34.80460717,-90.826745,-90.826745,34.80460717
UNKNOWN108096,AR,LEE,MORO,115,115,2,34.83489295,-90.99592468,-90.99592468,34.83489294999999
UNKNOWN108097,AR,LEE,MORO,69,69,1,34.7856055,-90.97880078,-90.97880078,34.785605499999996
UNKNOWN108098,AR,LEE,BRINKLEY,-999999,-999999,0,34.74257426,-91.10180844,-91.10180844,34.74257425999999
UNKNOWN108099,AR,LINCOLN,GRADY,115,115,2,34.04125795,-91.6183123,-91.61831229999999,34.04125795000001
UNKNOWN108100,AR,LINCOLN,GRADY,-999999,-999999,2,33.81916652,-91.74802461,-91.74802461,33.819166519999996
UNKNOWN108101,AR,LINCOLN,YORKTOWN,-999999,-999999,1,34.07560932,-91.82096843,-91.82096843,34.075609320000005
STAR CITY,AR,LINCOLN,STAR CITY,-999999,-999999,4,33.94018823,-91.85282889,-91.85282889,33.94018823
UNKNOWN108103,AR,LINCOLN,STAR CITY,115,-999999,6,33.92880502,-91.94216426,-91.94216426000001,33.92880501999999
UNKNOWN108104,AR,LITTLE RIVER,FOREMAN,69,-999999,3,33.72288892,-94.3808424,-94.38084239999999,33.722888919999995
UNKNOWN108105,AR,LITTLE RIVER,FOREMAN,69,69,2,33.6979928,-94.41944295,-94.41944295,33.6979928
FOREMAN NORTH,AR,LITTLE RIVER,FOREMAN,69,69,2,33.74480925,-94.37935737,-94.37935736999998,33.744809249999996
